num_clientes,num_servidores,num_mensagens,execucoes,tempo_min_ms,tempo_max_ms,tempo_media_ms,tempo_mediana_ms,tempo_std_ms,throughput_min,throughput_max,throughput_media,throughput_mediana,throughput_std
30,6,100,279,117.57,368.42,199.89655913978496,193.08,46.057409995092236,271.42934694099125,850.5571149102663,526.8251326004652,517.9200331468821,120.13317870925017
30,6,500,297,1384.26,2118.04,1804.1388215488214,1826.27,130.81291073575508,236.06730751071743,361.2038200916013,278.67761343090325,273.7820804152727,21.415264724050875
30,6,1000,293,3275.65,4145.77,3786.869112627986,3784.77,173.8506851583618,241.20971496247978,305.2829209469876,264.6361789934107,264.21684805153285,12.392157495731968
30,6,10000,295,36017.27,38393.92,37909.161118644064,37938.91,254.56754920972617,260.45790583509057,277.6445855002337,263.8005565664713,263.5816368999531,1.8048897863956792
30,8,1,300,3.08,8.43,4.239766666666667,4.12,0.6775780290912967,118.62396204033215,324.67532467532465,241.14289373808006,242.71844660194174,34.1480763476347
30,8,10,297,11.04,30.87,14.284040404040402,13.81,2.1390122685128494,323.9390994493035,905.7971014492754,712.9744253146076,724.112961622013,89.54754321608206
30,8,100,284,121.93,372.8,220.7686971830986,202.075,58.894962871654485,268.24034334763945,820.1427048306405,485.14951712009827,494.86578250614207,126.10777959142497
30,8,500,295,1403.97,2210.96,1936.4166440677968,1952.82,154.3363417263575,226.14610847776532,356.13296580411264,259.97172364894584,256.0399832037771,22.35670977341374
30,8,1000,295,3285.99,4019.63,3770.001084745763,3796.87,151.93896141799326,248.7791164858457,304.3222894774482,265.69812647430257,263.3748324277629,11.124478758050984
30,8,10000,295,36084.17,38303.14,37849.99555932203,37888.64,230.062871286306,261.07520166753955,277.12983283251356,264.2107501755405,263.9313525109373,1.6390546863823916
30,10,1,300,2.81,8.74,4.0441,3.895,0.6017806826133214,114.41647597254006,355.87188612099646,251.72696482470454,256.7398325753081,31.36890864576548
30,10,10,300,11.43,29.35,13.862266666666669,13.53,1.6332734418978716,340.71550255536624,874.8906386701663,729.1923519333989,739.098703818622,69.26588897919224
30,10,100,292,111.62,318.89,168.07876712328766,160.59,32.68939252042653,313.5877575339459,895.8967926894821,613.9256110814922,622.7038981271778,101.96656592589616
30,10,500,299,1378.81,2134.41,1847.340100334448,1855.1,150.95075618095,234.25677353460676,362.63154459280105,272.5514095047929,269.52724920489464,23.39347691414178
30,10,1000,297,3229.12,4092.85,3727.4221212121215,3743.69,153.91193455740017,244.32852413354996,309.68189475770487,268.751404749495,267.1161340816147,11.431567854370124
30,10,10000,293,35790.28,38001.57,37544.25273037543,37540.66,304.06255369744304,263.1470226098553,279.4054698650025,266.37004889569636,266.3778420517913,2.1931523306968357
40,2,1,400,3.34,16.42,6.718225,6.52,1.8583950548321422,60.90133982947625,299.40119760479047,159.6850057593638,153.37459392194364,42.147193039565
40,2,10,389,17.05,60.66,28.5266323907455,27.35,7.118274812789366,164.85328058028355,586.5102639296188,369.1626451880486,365.6307129798903,78.97975256490261
40,2,100,339,172.42,758.05,352.8490265486726,340.46,92.95231072209126,131.91741969527075,579.979120751653,302.4944221364965,293.7202608235916,77.78968419493333
40,2,500,392,2200.22,4734.12,3859.4532908163264,3927.545,498.7397810170531,105.61624969371287,227.25000227250004,132.11770925728183,127.30599821627803,20.33510787259569
40,2,1000,389,5398.61,10084.82,8147.377737789203,8256.16,957.546337329706,99.1589339224696,185.23286549685938,124.56802647525946,121.12168368830062,15.782960589773309
40,2,10000,275,68530.56,96491.74,86787.4652,87192.9,8548.925327290171,103.63581380126422,145.92030183322595,116.47561534976366,114.68823723032496,12.82080462255007
40,4,1,400,2.63,20.2,3.8945999999999996,3.72,0.9834822995783713,49.504950495049506,380.22813688212926,263.6605655566393,268.81720430107526,35.70175310288749
40,4,10,397,10.86,25.43,13.086775818639799,12.73,1.4455391789216998,393.23633503735743,920.8103130755064,771.7433789036961,785.5459544383347,71.0861052835474
40,4,100,381,113.08,278.9,176.15653543307087,170.96,33.85022833736138,358.5514521333812,884.3296781039971,587.3834155213992,584.932147870847,106.04917652432387
40,4,500,394,1505.26,2416.92,2130.6963197969544,2177.04,183.84851725428666,206.87486553133738,332.1685290248861,236.68481126979984,229.66964553063812,23.666323440054207
40,4,1000,386,3866.15,4809.47,4486.0647150259065,4524.25,192.56501001512822,207.92311834775973,258.6552513482405,223.3460009128752,221.03112158479502,10.143387751834096
40,4,10000,393,44018.2,47713.06,47265.0758778626,47313.34,346.44213889382746,209.58622230475262,227.17875787742344,211.5843977770386,211.3568815898434,1.5998459208546734
40,6,1,400,2.62,8.43,4.054425,3.8499999999999996,0.6894094449832261,118.62396204033215,381.6793893129771,252.38680792746362,259.74201208981003,35.4656558768711
