linguagem,timestamp,ambiente,num_servidores,num_clientes,num_mensagens,repeticao,tempo_execucao,total_mensagens,throughput,latencia_media
Go,2025-07-02T05:47:51.149609,kubernetes,6,50,500,9,30.070991039276123,25000,831.3660154182204,1.202839641571045
Go,2025-07-02T05:48:21.217969,kubernetes,6,50,500,10,30.0673611164093,25000,831.4663832056821,1.202694444656372
Go,2025-07-02T05:48:51.313495,kubernetes,6,50,1000,1,30.07651972770691,50000,1662.4263861865409,0.6015303945541381
Go,2025-07-02T05:49:21.385083,kubernetes,6,50,1000,2,30.070587635040283,50000,1662.754336790433,0.6014117527008057
Go,2025-07-02T05:49:51.464801,kubernetes,6,50,1000,3,30.078721284866333,50000,1662.3047079184435,0.6015744256973267
Go,2025-07-02T05:50:21.529605,kubernetes,6,50,1000,4,30.063808917999268,50000,1663.1292507339244,0.6012761783599854
Go,2025-07-02T05:50:51.593228,kubernetes,6,50,1000,5,30.063623666763306,50000,1663.139498891388,0.6012724733352661
Go,2025-07-02T05:51:21.659490,kubernetes,6,50,1000,6,30.06526207923889,50000,1663.0488657714625,0.6013052415847778
Go,2025-07-02T05:51:51.721975,kubernetes,6,50,1000,7,30.061484813690186,50000,1663.2578300733066,0.6012296962738037
Go,2025-07-02T05:52:21.785989,kubernetes,6,50,1000,8,30.064013481140137,50000,1663.1179343824529,0.6012802696228028
Go,2025-07-02T05:52:51.851929,kubernetes,6,50,1000,9,30.065940618515015,50000,1663.0113334691189,0.6013188123703003
Go,2025-07-02T05:53:21.922970,kubernetes,6,50,1000,10,30.070040702819824,50000,1662.7845799793427,0.6014008140563964
Go,2025-07-02T05:53:52.010240,kubernetes,6,50,10000,1,30.067270278930664,500000,16629.3779036659,0.06013454055786133
Go,2025-07-02T05:54:22.073379,kubernetes,6,50,10000,2,30.063138961791992,500000,16631.66313522559,0.060126277923583986
Go,2025-07-02T05:54:52.136447,kubernetes,6,50,10000,3,30.063068389892578,500000,16631.70217741658,0.06012613677978516
Go,2025-07-02T05:55:22.226309,kubernetes,6,50,10000,4,30.08986234664917,500000,16616.89223565625,0.06017972469329834
Go,2025-07-02T05:55:52.301889,kubernetes,6,50,10000,5,30.075579404830933,500000,16624.783624939468,0.06015115880966187
Go,2025-07-02T05:56:22.375685,kubernetes,6,50,10000,6,30.073796033859253,500000,16625.769471770836,0.060147592067718504
Go,2025-07-02T05:56:52.444571,kubernetes,6,50,10000,7,30.067888021469116,500000,16629.03625432519,0.06013577604293823
Go,2025-07-02T05:57:22.509510,kubernetes,6,50,10000,8,30.064939498901367,500000,16630.66709375121,0.060129878997802734
Go,2025-07-02T05:57:52.588706,kubernetes,6,50,10000,9,30.079195261001587,500000,16622.785139742824,0.060158390522003176
Go,2025-07-02T05:58:22.663013,kubernetes,6,50,10000,10,30.074307441711426,500000,16625.48675373742,0.06014861488342285
Go,2025-07-02T05:58:22.933216,kubernetes,6,60,1,1,0.24919843673706055,60,240.77197588245087,4.153307278951009
Go,2025-07-02T05:58:23.189498,kubernetes,6,60,1,2,0.2552835941314697,60,235.03272979265682,4.254726568857829
Go,2025-07-02T05:58:23.442309,kubernetes,6,60,1,3,0.2528109550476074,60,237.33148742981197,4.213515917460124
Go,2025-07-02T05:58:23.706206,kubernetes,6,60,1,4,0.2628946304321289,60,228.2283206065333,4.381577173868815
Go,2025-07-02T05:58:23.957699,kubernetes,6,60,1,5,0.25049424171447754,60,239.52646411884464,4.174904028574626
Go,2025-07-02T05:58:24.210831,kubernetes,6,60,1,6,0.2521331310272217,60,237.9695193390593,4.202218850453694
Go,2025-07-02T05:58:24.468186,kubernetes,6,60,1,7,0.2573552131652832,60,233.14079890608528,4.28925355275472
Go,2025-07-02T05:58:24.750955,kubernetes,6,60,1,8,0.28276848793029785,60,212.18771737673237,4.712808132171631
Go,2025-07-02T05:58:25.020744,kubernetes,6,60,1,9,0.26778531074523926,60,224.06008691448244,4.463088512420654
Go,2025-07-02T05:58:25.279318,kubernetes,6,60,1,10,0.2585737705230713,60,232.04209722674284,4.3095628420511884
Go,2025-07-02T05:58:26.117604,kubernetes,6,60,10,1,0.8167030811309814,600,734.6611196435208,1.361171801884969
Go,2025-07-02T05:58:26.948068,kubernetes,6,60,10,2,0.8294622898101807,600,723.3601905365797,1.3824371496836345
Go,2025-07-02T05:58:27.776951,kubernetes,6,60,10,3,0.8288829326629639,600,723.8657913637715,1.3814715544382732
Go,2025-07-02T05:58:28.596932,kubernetes,6,60,10,4,0.8199803829193115,600,731.7248223230259,1.3666339715321858
Go,2025-07-02T05:58:29.398868,kubernetes,6,60,10,5,0.8009369373321533,600,749.1226487799955,1.3348948955535889
Go,2025-07-02T05:58:30.217952,kubernetes,6,60,10,6,0.8190839290618896,600,732.525665211366,1.3651398817698162
Go,2025-07-02T05:58:31.026831,kubernetes,6,60,10,7,0.8088786602020264,600,741.7676216728765,1.3481311003367107
Go,2025-07-02T05:58:31.827993,kubernetes,6,60,10,8,0.8011622428894043,600,748.9119779735132,1.3352704048156738
Go,2025-07-02T05:58:32.658106,kubernetes,6,60,10,9,0.8296067714691162,600,723.23421244198,1.382677952448527
Go,2025-07-02T05:58:33.487133,kubernetes,6,60,10,10,0.8290269374847412,600,723.7400533936732,1.3817115624745686
Go,2025-07-02T05:58:40.086458,kubernetes,6,60,100,1,6.578715562820435,6000,912.0321349518375,1.0964525938034058
Go,2025-07-02T05:58:46.656124,kubernetes,6,60,100,2,6.568666934967041,6000,913.4273452137066,1.0947778224945068
Go,2025-07-02T05:58:53.275602,kubernetes,6,60,100,3,6.618476390838623,6000,906.5530562751986,1.1030793984731038
Go,2025-07-02T05:58:59.856450,kubernetes,6,60,100,4,6.579847812652588,6000,911.8751939007493,1.0966413021087646
Go,2025-07-02T05:59:06.445178,kubernetes,6,60,100,5,6.588728904724121,6000,910.6460573446872,1.0981214841206868
Go,2025-07-02T05:59:13.034845,kubernetes,6,60,100,6,6.589666366577148,6000,910.5165066371278,1.0982777277628581
Go,2025-07-02T05:59:19.664762,kubernetes,6,60,100,7,6.628917694091797,6000,905.1251315652422,1.104819615681966
Go,2025-07-02T05:59:26.215109,kubernetes,6,60,100,8,6.550346612930298,6000,915.9820624081295,1.091724435488383
Go,2025-07-02T05:59:32.764132,kubernetes,6,60,100,9,6.549022912979126,6000,916.1672023026443,1.0915038188298543
Go,2025-07-02T05:59:39.364319,kubernetes,6,60,100,10,6.59818172454834,6000,909.3414292724278,1.09969695409139
Go,2025-07-02T06:00:09.468246,kubernetes,6,60,500,1,30.082823991775513,30000,997.2468013043538,1.0027607997258505
Go,2025-07-02T06:00:39.548420,kubernetes,6,60,500,2,30.079173803329468,30000,997.3678198793909,1.0026391267776489
Go,2025-07-02T06:01:09.642614,kubernetes,6,60,500,3,30.093194723129272,30000,996.9031296282529,1.0031064907709757
Go,2025-07-02T06:01:39.740708,kubernetes,6,60,500,4,30.097568035125732,30000,996.7582751200408,1.0032522678375244
Go,2025-07-02T06:02:09.833267,kubernetes,6,60,500,5,30.091559886932373,30000,996.9572901080434,1.003051996231079
Go,2025-07-02T06:02:39.926383,kubernetes,6,60,500,6,30.092116832733154,30000,996.93883839262,1.003070561091105
Go,2025-07-02T06:03:10.005332,kubernetes,6,60,500,7,30.078948497772217,30000,997.3752906363045,1.0026316165924072
Go,2025-07-02T06:03:40.091284,kubernetes,6,60,500,8,30.084954977035522,30000,997.1761640627227,1.0028318325678507
Go,2025-07-02T06:04:10.176051,kubernetes,6,60,500,9,30.084766626358032,30000,997.1824070496939,1.0028255542119344
Go,2025-07-02T06:04:40.297737,kubernetes,6,60,500,10,30.121172189712524,30000,995.9771754914004,1.0040390729904174
Go,2025-07-02T06:05:10.398135,kubernetes,6,60,1000,1,30.077725172042847,60000,1994.8317120661045,0.5012954195340474
Go,2025-07-02T06:05:40.481949,kubernetes,6,60,1000,2,30.08381414413452,60000,1994.4279575898881,0.501396902402242
Go,2025-07-02T06:06:10.568335,kubernetes,6,60,1000,3,30.08538818359375,60000,1994.32361097868,0.5014231363932292
Go,2025-07-02T06:06:40.658190,kubernetes,6,60,1000,4,30.089855670928955,60000,1994.0275106725908,0.5014975945154826
Go,2025-07-02T06:07:10.740341,kubernetes,6,60,1000,5,30.0811505317688,60000,1994.6045593114468,0.5013525088628134
Go,2025-07-02T06:07:40.827521,kubernetes,6,60,1000,6,30.087180137634277,60000,1994.2048316103092,0.5014530022939047
Go,2025-07-02T06:08:10.913961,kubernetes,6,60,1000,7,30.086439847946167,60000,1994.2538998709701,0.5014406641324362
Go,2025-07-02T06:08:40.997229,kubernetes,6,60,1000,8,30.083268404006958,60000,1994.464138477994,0.5013878067334493
Go,2025-07-02T06:09:11.086194,kubernetes,6,60,1000,9,30.087904930114746,60000,1994.156792882793,0.5014650821685791
Go,2025-07-02T06:09:41.162160,kubernetes,6,60,1000,10,30.07396411895752,60000,1995.0811859278042,0.5012327353159587
Go,2025-07-02T06:10:11.268990,kubernetes,6,60,10000,1,30.079824209213257,600000,19946.925082634752,0.05013304034868876
Go,2025-07-02T06:10:41.350281,kubernetes,6,60,10000,2,30.081290245056152,600000,19945.95295321848,0.05013548374176025
Go,2025-07-02T06:11:11.432492,kubernetes,6,60,10000,3,30.0822114944458,600000,19945.342120567846,0.05013701915740967
Go,2025-07-02T06:11:41.521309,kubernetes,6,60,10000,4,30.087818145751953,600000,19941.62544766354,0.05014636357625325
Go,2025-07-02T06:12:11.600159,kubernetes,6,60,10000,5,30.07884931564331,600000,19947.571587718747,0.050131415526072184
Go,2025-07-02T06:12:41.697785,kubernetes,6,60,10000,6,30.09762668609619,600000,19935.126654925723,0.05016271114349365
Go,2025-07-02T06:13:11.790207,kubernetes,6,60,10000,7,30.09041452407837,600000,19939.904766678424,0.05015069087346395
Go,2025-07-02T06:13:41.870536,kubernetes,6,60,10000,8,30.08033013343811,600000,19946.589593211404,0.05013388355573018
Go,2025-07-02T06:14:11.951679,kubernetes,6,60,10000,9,30.08014154434204,600000,19946.714649448106,0.05013356924057007
Go,2025-07-02T06:14:42.040185,kubernetes,6,60,10000,10,30.08850622177124,600000,19941.16941458051,0.05014751036961873
Go,2025-07-02T06:14:42.356190,kubernetes,6,70,1,1,0.29399681091308594,70,238.0978207981108,4.199954441615513
Go,2025-07-02T06:14:42.643835,kubernetes,6,70,1,2,0.2876453399658203,70,243.3552374195174,4.109219142368862
Go,2025-07-02T06:14:42.933358,kubernetes,6,70,1,3,0.2895231246948242,70,241.77688767964372,4.136044638497489
Go,2025-07-02T06:14:43.238057,kubernetes,6,70,1,4,0.30269813537597656,70,231.25348926597815,4.324259076799665
Go,2025-07-02T06:14:43.545619,kubernetes,6,70,1,5,0.30756282806396484,70,227.5957743028747,4.3937546866280695
Go,2025-07-02T06:14:43.852678,kubernetes,6,70,1,6,0.3060581684112549,70,228.71469290746055,4.372259548732212
Go,2025-07-02T06:14:44.222782,kubernetes,6,70,1,7,0.3701038360595703,70,189.13611040965569,5.287197657993862
Go,2025-07-02T06:14:44.594021,kubernetes,6,70,1,8,0.3702402114868164,70,189.06644342842424,5.289145878383091
Go,2025-07-02T06:14:44.917748,kubernetes,6,70,1,9,0.32172656059265137,70,217.5760679225652,4.596093722752163
Go,2025-07-02T06:14:45.211662,kubernetes,6,70,1,10,0.2939143180847168,70,238.1646476298016,4.198775972638812
Go,2025-07-02T06:14:46.116203,kubernetes,6,70,10,1,0.8815417289733887,700,794.0633744192626,1.259345327104841
Go,2025-07-02T06:14:46.974964,kubernetes,6,70,10,2,0.8587608337402344,700,815.127998969434,1.2268011910574776
Go,2025-07-02T06:14:47.824901,kubernetes,6,70,10,3,0.8489365577697754,700,824.5610270795221,1.212766511099679
Go,2025-07-02T06:14:48.697236,kubernetes,6,70,10,4,0.8713359832763672,700,803.3640449093866,1.2447656903948103
Go,2025-07-02T06:14:49.556020,kubernetes,6,70,10,5,0.8587832450866699,700,815.106726877694,1.2268332072666712
Go,2025-07-02T06:14:50.414786,kubernetes,6,70,10,6,0.8587663173675537,700,815.1227939933264,1.226809024810791
Go,2025-07-02T06:14:51.276990,kubernetes,6,70,10,7,0.8612046241760254,700,812.8149575018119,1.2302923202514648
Go,2025-07-02T06:14:52.144728,kubernetes,6,70,10,8,0.8677377700805664,700,806.6953221766611,1.2396253858293806
